Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MAE,F_ref,F_dom
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,22.5,30,Supine,8,0.1398633809646045,0.25641025641025644,0.39627363737486093
DeltaR=27cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,27.0,0,Lateral,2,0.00817622619624847,0.3418803418803419,0.3337041156840934
DeltaR=27cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,27.0,0,Lateral,8,0.1333152695777835,0.3418803418803419,0.20856507230255839
DeltaR=27cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,27.0,0,Supine,1,0.03279522356274306,0.3247863247863248,0.29199110122358174
DeltaR=27cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,27.0,0,Supine,2,0.01946369660496472,0.2905982905982906,0.2711345939933259
DeltaR=27cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,27.0,0,Supine,3,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=27cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,27.0,0,Supine,4,0.002369679510947631,0.27350427350427353,0.2711345939933259
DeltaR=27cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,27.0,0,Supine,5,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=27cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,27.0,0,Supine,6,0.0611767110654764,0.2905982905982906,0.22942157953281422
DeltaR=27cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,27.0,0,Supine,7,0.025270243290265615,0.35897435897435903,0.3337041156840934
DeltaR=27cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,27.0,0,Supine,8,0.03279522356274306,0.3247863247863248,0.29199110122358174
DeltaR=8cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,8.0,30,Facedown,1,0.04612675052052145,0.35897435897435903,0.3128476084538376
DeltaR=8cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,8.0,30,Facedown,2,0.03655771369898181,0.3076923076923077,0.2711345939933259
DeltaR=8cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,8.0,30,Facedown,3,0.04988924065676015,0.3418803418803419,0.29199110122358174
DeltaR=8cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,8.0,30,Facedown,4,0.04988924065676015,0.3418803418803419,0.29199110122358174
DeltaR=8cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,8.0,30,Facedown,5,0.0536517307929989,0.3247863247863248,0.2711345939933259
DeltaR=8cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,8.0,30,Facedown,6,0.0536517307929989,0.3247863247863248,0.2711345939933259
DeltaR=8cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,8.0,30,Facedown,7,0.03655771369898181,0.3076923076923077,0.2711345939933259
DeltaR=8cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,8.0,30,Facedown,8,0.07074574788701599,0.3418803418803419,0.2711345939933259
DeltaR=8cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,8.0,30,Lateral,1,0.11245876234752766,0.3418803418803419,0.22942157953281422
DeltaR=8cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,8.0,30,Lateral,2,0.11622125248376641,0.3247863247863248,0.20856507230255839
DeltaR=8cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,8.0,30,Lateral,3,0.016442771170246062,0.35897435897435903,0.3754171301446051
DeltaR=8cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,8.0,30,Lateral,4,0.1333152695777835,0.3418803418803419,0.20856507230255839
DeltaR=8cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,8.0,30,Lateral,5,0.04988924065676015,0.3418803418803419,0.29199110122358174
DeltaR=8cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,8.0,30,Lateral,6,0.07450823802325474,0.3247863247863248,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,8.0,30,Lateral,7,0.09536474525351057,0.3247863247863248,0.22942157953281422
DeltaR=8cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,8.0,30,Lateral,8,0.05741422092923765,0.3076923076923077,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,8.0,30,Supine,1,0.03279522356274306,0.3247863247863248,0.29199110122358174
DeltaR=8cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,8.0,30,Supine,2,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,8.0,30,Supine,3,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,8.0,30,Supine,4,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,8.0,30,Supine,5,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,8.0,30,Supine,6,0.02322618674120347,0.27350427350427353,0.25027808676307006
DeltaR=8cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,8.0,30,Supine,7,0.11041470579846557,0.25641025641025644,0.14599555061179087
