Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=8cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,8.0,30,Lateral,7,0.30235105140186913,0.3215144230769231,0.22430419921875,1.54266357421875
DeltaR=8cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,8.0,30,Lateral,8,0.26573057432432423,0.3335336538461538,0.244903564453125,1.72576904296875
DeltaR=8cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,8.0,30,Supine,1,0.08166617990654204,0.3215144230769231,0.295257568359375,0.803375244140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,8.0,30,Supine,2,0.14595170454545445,0.2974759615384615,0.254058837890625,1.00250244140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,8.0,30,Supine,3,0.10339355468749992,0.28846153846153844,0.258636474609375,0.8331298828125
DeltaR=8cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,8.0,30,Supine,4,0.12834246134020616,0.29146634615384615,0.254058837890625,1.007080078125
DeltaR=8cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,8.0,30,Supine,5,0.10052360372340424,0.2824519230769231,0.254058837890625,1.007080078125
DeltaR=8cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,8.0,30,Supine,6,0.08593749999999994,0.2704326923076923,0.2471923828125,0.949859619140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,8.0,30,Supine,7,0.12575461647727257,0.26442307692307687,0.231170654296875,0.803375244140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,8.0,30,Supine,8,0.1294642857142857,0.25240384615384615,0.2197265625,1.036834716796875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial1.mat,Bandwidth2,10.0,0,Facedown,1,0.6369377920560748,0.3215144230769231,0.116729736328125,0.84686279296875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial2.mat,Bandwidth2,10.0,0,Facedown,2,0.6302336165048543,0.3094951923076923,0.11444091796875,1.032257080078125
DeltaR=10cm_Angle=0_Band2_Facedown_Trial3.mat,Bandwidth2,10.0,0,Facedown,3,0.10523897058823542,0.3064903846153846,0.3387451171875,0.86517333984375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial4.mat,Bandwidth2,10.0,0,Facedown,4,0.578466322815534,0.3094951923076923,0.130462646484375,0.963592529296875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial5.mat,Bandwidth2,10.0,0,Facedown,5,0.6672102548543689,0.3094951923076923,0.102996826171875,0.8148193359375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial6.mat,Bandwidth2,10.0,0,Facedown,6,0.20750473484848478,0.2974759615384615,0.235748291015625,0.991058349609375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial7.mat,Bandwidth2,10.0,0,Facedown,7,0.3604436910377358,0.31850961538461536,0.203704833984375,1.12152099609375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial8.mat,Bandwidth2,10.0,0,Facedown,8,0.11995600728155335,0.3094951923076923,0.272369384765625,1.02996826171875
DeltaR=10cm_Angle=0_Band2_Lateral_Trial1.mat,Bandwidth2,10.0,0,Lateral,1,0.5038345756880733,0.32752403846153844,0.162506103515625,1.393890380859375
DeltaR=10cm_Angle=0_Band2_Lateral_Trial2.mat,Bandwidth2,10.0,0,Lateral,2,0.6379950495049505,0.30348557692307687,0.10986328125,0.922393798828125
DeltaR=10cm_Angle=0_Band2_Lateral_Trial3.mat,Bandwidth2,10.0,0,Lateral,3,0.3998579545454545,0.2974759615384615,0.17852783203125,0.9796142578125
DeltaR=10cm_Angle=0_Band2_Lateral_Trial4.mat,Bandwidth2,10.0,0,Lateral,4,0.5635986328125,0.28846153846153844,0.125885009765625,1.35498046875
DeltaR=10cm_Angle=0_Band2_Lateral_Trial5.mat,Bandwidth2,10.0,0,Lateral,5,0.6229115099009901,0.30348557692307687,0.11444091796875,1.100921630859375
DeltaR=10cm_Angle=0_Band2_Lateral_Trial6.mat,Bandwidth2,10.0,0,Lateral,6,0.65087890625,0.28846153846153844,0.1007080078125,0.862884521484375
DeltaR=10cm_Angle=0_Band2_Lateral_Trial7.mat,Bandwidth2,10.0,0,Lateral,7,0.6152142396907216,0.29146634615384615,0.112152099609375,1.0162353515625
DeltaR=10cm_Angle=0_Band2_Lateral_Trial8.mat,Bandwidth2,10.0,0,Lateral,8,0.46601159793814434,0.29146634615384615,0.1556396484375,0.872039794921875
