Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,22.5,30,Lateral,1,0.10675465838509308,0.3023587740384615,0.27008056640625,0.97503662109375
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,22.5,30,Lateral,2,0.05589788732394358,0.29334435096153844,0.276947021484375,1.146697998046875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,22.5,30,Lateral,3,0.009390394088669813,0.3049879807692307,0.3021240234375,1.137542724609375
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,22.5,30,Lateral,4,0.014361360718870246,0.2925931490384615,0.28839111328125,1.897430419921875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,22.5,30,Lateral,5,0.0012804097311138692,0.29334435096153844,0.29296875,0.821685791015625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,22.5,30,Lateral,6,0.13923306148055226,0.2993539663461538,0.341033935546875,1.352691650390625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,22.5,30,Lateral,7,0.0703125,0.29296875,0.272369384765625,1.35498046875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,22.5,30,Lateral,8,0.022280471821756256,0.28658353365384615,0.29296875,1.50146484375
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,22.5,30,Supine,1,0.06542238154613464,0.30123197115384615,0.281524658203125,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,22.5,30,Supine,2,0.17002688172043007,0.3143780048076923,0.26092529296875,1.055145263671875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,22.5,30,Supine,3,0.07440275908479159,0.27907151442307687,0.299835205078125,0.817108154296875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,22.5,30,Supine,4,0.23211705202312136,0.3248948317307692,0.249481201171875,1.0528564453125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,22.5,30,Supine,5,0.10179068150208642,0.2700570913461538,0.29754638671875,1.165008544921875
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,22.5,30,Supine,6,0.012545620437956172,0.25728665865384615,0.254058837890625,1.5655517578125
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,22.5,30,Supine,7,0.1087239583333334,0.2704326923076923,0.299835205078125,0.807952880859375
DeltaR=22.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,22.5,30,Supine,8,0.07594774590163919,0.2749399038461538,0.254058837890625,0.86517333984375
DeltaR=27cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,27.0,0,Facedown,1,0.15442230504587148,0.32752403846153844,0.276947021484375,1.128387451171875
DeltaR=27cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,27.0,0,Facedown,2,0.12129982415005851,0.32038762019230765,0.281524658203125,1.073455810546875
DeltaR=27cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,27.0,0,Facedown,3,0.11600772889417357,0.31588040865384615,0.27923583984375,1.0528564453125
DeltaR=27cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,27.0,0,Facedown,4,0.07285276073619629,0.30611478365384615,0.2838134765625,1.018524169921875
DeltaR=27cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,27.0,0,Facedown,5,0.10805766978922714,0.32076322115384615,0.286102294921875,1.306915283203125
DeltaR=27cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,27.0,0,Facedown,6,0.07269021739130432,0.31099759615384615,0.28839111328125,1.11236572265625
DeltaR=27cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,27.0,0,Facedown,7,0.09860177261613683,0.3072415865384615,0.276947021484375,1.151275634765625
DeltaR=27cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,27.0,0,Facedown,8,0.0909450063211125,0.2971003605769231,0.27008056640625,1.256561279296875
DeltaR=27cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,27.0,0,Lateral,1,0.04853247914183548,0.3151292067307692,0.299835205078125,0.8148193359375
DeltaR=27cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,27.0,0,Lateral,2,0.11464245175936427,0.3309044471153846,0.29296875,1.151275634765625
DeltaR=27cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,27.0,0,Lateral,3,0.12214176829268301,0.30799278846153844,0.345611572265625,1.080322265625
DeltaR=27cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,27.0,0,Lateral,4,0.0234375,0.29296875,0.286102294921875,1.2451171875
DeltaR=27cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,27.0,0,Lateral,5,0.05893987341772141,0.2967247596153846,0.27923583984375,0.93841552734375
DeltaR=27cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,27.0,0,Lateral,6,0.07426519154557457,0.28432992788461536,0.263214111328125,0.9429931640625
DeltaR=27cm_Angle=0_Band1_Lateral_Trial7.mat,Bandwidth1,27.0,0,Lateral,7,0.002768987341772184,0.26705228365384615,0.267791748046875,1.494598388671875
DeltaR=27cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,27.0,0,Lateral,8,0.042317007534983735,0.3489332932692307,0.33416748046875,1.35955810546875
DeltaR=27cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,27.0,0,Supine,1,0.040074387397899564,0.3218900240384615,0.308990478515625,0.913238525390625
DeltaR=27cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,27.0,0,Supine,2,0.04904026217228452,0.30085637019230765,0.286102294921875,0.80108642578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,27.0,0,Supine,3,0.045651476251604525,0.2925931490384615,0.27923583984375,1.027679443359375
DeltaR=27cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,27.0,0,Supine,4,0.03183411214953258,0.28132512019230765,0.272369384765625,0.88348388671875
DeltaR=27cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,27.0,0,Supine,5,0.08018867924528286,0.29860276442307687,0.274658203125,0.803375244140625
DeltaR=27cm_Angle=0_Band1_Supine_Trial6.mat,Bandwidth1,27.0,0,Supine,6,0.06867588932806319,0.2850811298076923,0.2655029296875,0.98876953125
DeltaR=27cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,27.0,0,Supine,7,0.039243384785005414,0.3406700721153846,0.327301025390625,0.812530517578125
DeltaR=27cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,27.0,0,Supine,8,0.10470971563981034,0.3170072115384615,0.2838134765625,0.812530517578125
DeltaR=8cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,8.0,30,Facedown,1,0.11487430167597765,0.3361628605769231,0.29754638671875,0.991058349609375
DeltaR=8cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,8.0,30,Facedown,2,0.10386029411764701,0.3192608173076923,0.286102294921875,0.823974609375
DeltaR=8cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,8.0,30,Facedown,3,0.06520328719723181,0.32564603365384615,0.304412841796875,1.201629638671875
DeltaR=8cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,8.0,30,Facedown,4,0.14328231292517005,0.3312800480769231,0.2838134765625,0.87432861328125
