Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=20cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,20.0,0,Supine,7,0.8056530898876406,0.3342848557692307,0.269317626953125,1.174163818359375
DeltaR=20cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,20.0,0,Supine,8,0.8719158739595719,0.31588040865384615,0.275421142578125,1.06658935546875
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,22.5,30,Facedown,1,0.929678188319428,0.3151292067307692,0.29296875,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,22.5,30,Facedown,2,0.8425749118683903,0.3196364182692307,0.269317626953125,0.933837890625
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,22.5,30,Facedown,3,0.43048064720812185,0.29597355769230765,0.127410888671875,1.064300537109375
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,22.5,30,Facedown,4,0.8561881953028431,0.30386117788461536,0.260162353515625,0.84686279296875
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,22.5,30,Facedown,5,0.41993321718931476,0.32339242788461536,0.13580322265625,0.84686279296875
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,22.5,30,Facedown,6,0.939362336114422,0.3151292067307692,0.2960205078125,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,22.5,30,Facedown,7,0.9505571030640669,0.26968149038461536,0.25634765625,0.826263427734375
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,22.5,30,Facedown,8,0.819246737841044,0.3166316105769231,0.2593994140625,1.068878173828125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,22.5,30,Lateral,1,0.47489754098360637,0.11455829326923075,0.174713134765625,0.9796142578125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,22.5,30,Lateral,2,0.46422101449275366,0.33691406249999994,0.156402587890625,0.904083251953125
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,22.5,30,Lateral,3,0.44682364096080907,0.2971003605769231,0.13275146484375,1.13525390625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,22.5,30,Lateral,4,0.45528017241379315,0.3049879807692307,0.13885498046875,1.080322265625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,22.5,30,Lateral,5,0.47436377245508987,0.31362680288461536,0.148773193359375,1.0894775390625
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,22.5,30,Lateral,6,0.47031445556946194,0.3001051682692307,0.141143798828125,1.238250732421875
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,22.5,30,Lateral,7,0.8586990111248456,0.30386117788461536,0.26092529296875,1.35498046875
